proprietary_name,ndc_package_code,strength,dosage_form,route,appl_no,labeler_name,product_ndc,nonproprietary_name,substance_name,product_type_name,start_marketing_date,end_marketing_date,market_category,package_description,pharm_class,dea,sample_package,listing_record_certified_through,ndc,drug_name,bup_strength_clean
BUPRENORPHINE,71335-0950-2,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-0950,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/13/2018,N/A,ANDA,90 TABLET in 1 BOTTLE (71335-0950-2),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335095002,Buprenorphine,2
Buprenorphine,42858-586-40,15 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals L.P.,42858-586,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-586-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2024,42858058640,Buprenorphine,15
BUPRENORPHINE,71335-0950-4,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-0950,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/23/2022,N/A,ANDA,7 TABLET in 1 BOTTLE (71335-0950-4),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335095004,Buprenorphine,2
Buprenorphine,62756-459-83,2 mg/1,TABLET,SUBLINGUAL,ANDA201760,"Sun Pharmaceutical Industries, Inc.",62756-459,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2016,N/A,ANDA,30 TABLET in 1 BOTTLE (62756-459-83),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,62756045983,Buprenorphine,2
Buprenorphine,62756-460-83,8 mg/1,TABLET,SUBLINGUAL,ANDA201760,"Sun Pharmaceutical Industries, Inc.",62756-460,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2016,N/A,ANDA,30 TABLET in 1 BOTTLE (62756-460-83),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,62756046083,Buprenorphine,8
BUPRENORPHINE,71335-0950-8,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-0950,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/23/2022,N/A,ANDA,120 TABLET in 1 BOTTLE (71335-0950-8),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335095008,Buprenorphine,2
Buprenorphine,0093-3657-40,10 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3657,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/26/2018,N/A,ANDA,4 POUCH in 1 CARTON (0093-3657-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,00093365740,Buprenorphine,10
Buprenorphine,0228-3153-03,8 mg/1,TABLET,SUBLINGUAL,ANDA090819,"Actavis Pharma, Inc.",0228-3153,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/10/2015,N/A,ANDA,30 TABLET in 1 BOTTLE (0228-3153-03),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,00228315303,Buprenorphine,8
Buprenorphine,0228-3156-03,2 mg/1,TABLET,SUBLINGUAL,ANDA090819,"Actavis Pharma, Inc.",0228-3156,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/10/2015,N/A,ANDA,30 TABLET in 1 BOTTLE (0228-3156-03),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,00228315603,Buprenorphine,2
BUPRENORPHINE,42858-501-03,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Rhodes Pharmaceuticals L.P.,42858-501,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/25/2017,N/A,ANDA,30 TABLET in 1 BOTTLE (42858-501-03),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,42858050103,Buprenorphine,2
Buprenorphine,62756-459-64,2 mg/1,TABLET,SUBLINGUAL,ANDA201760,"Sun Pharmaceutical Industries, Inc.",62756-459,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2016,N/A,ANDA,3 BLISTER PACK in 1 CARTON (62756-459-64)  / 10 TABLET in 1 BLISTER PACK,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,62756045964,Buprenorphine,2
BUPRENORPHINE,71335-0950-5,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-0950,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/23/2022,N/A,ANDA,28 TABLET in 1 BOTTLE (71335-0950-5),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335095005,Buprenorphine,2
BUPRENORPHINE,71335-0950-7,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-0950,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/23/2022,N/A,ANDA,12 TABLET in 1 BOTTLE (71335-0950-7),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335095007,Buprenorphine,2
BUPRENORPHINE,71335-1154-0,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,120 TABLET in 1 BOTTLE (71335-1154-0),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335115400,Buprenorphine,8
BUPRENORPHINE,71335-1154-1,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/15/2019,N/A,ANDA,90 TABLET in 1 BOTTLE (71335-1154-1),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335115401,Buprenorphine,8
BUPRENORPHINE,71335-1154-2,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/15/2019,N/A,ANDA,60 TABLET in 1 BOTTLE (71335-1154-2),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335115402,Buprenorphine,8
BUPRENORPHINE,71335-1154-3,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/22/2019,N/A,ANDA,30 TABLET in 1 BOTTLE (71335-1154-3),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335115403,Buprenorphine,8
BUPRENORPHINE,71335-1154-4,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,20 TABLET in 1 BOTTLE (71335-1154-4),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335115404,Buprenorphine,8
BUPRENORPHINE,71335-1154-5,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/16/2020,N/A,ANDA,7 TABLET in 1 BOTTLE (71335-1154-5),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335115405,Buprenorphine,8
BUPRENORPHINE,71335-1154-6,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/28/2021,N/A,ANDA,28 TABLET in 1 BOTTLE (71335-1154-6),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335115406,Buprenorphine,8
BUPRENORPHINE,71335-1154-7,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,1 TABLET in 1 BOTTLE (71335-1154-7),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335115407,Buprenorphine,8
BUPRENORPHINE,71335-1154-8,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,12 TABLET in 1 BOTTLE (71335-1154-8),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335115408,Buprenorphine,8
BUPRENORPHINE,71335-1154-9,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-1154,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/16/2022,N/A,ANDA,14 TABLET in 1 BOTTLE (71335-1154-9),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335115409,Buprenorphine,8
Buprenorphine,62756-460-64,8 mg/1,TABLET,SUBLINGUAL,ANDA201760,"Sun Pharmaceutical Industries, Inc.",62756-460,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2016,N/A,ANDA,3 BLISTER PACK in 1 CARTON (62756-460-64)  / 10 TABLET in 1 BLISTER PACK,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,62756046064,Buprenorphine,8
BUPRENORPHINE,58118-0501-8,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,"Clinical Solutions Wholesale, LLC",58118-0501,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/25/2017,N/A,ANDA,30 TABLET in 1 BLISTER PACK (58118-0501-8),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,58118050108,Buprenorphine,2
BUPRENORPHINE,71335-0950-6,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-0950,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/23/2022,N/A,ANDA,1 TABLET in 1 BOTTLE (71335-0950-6),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335095006,Buprenorphine,2
BUPRENORPHINE,58118-0502-8,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,"Clinical Solutions Wholesale, LLC",58118-0502,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/07/2022,N/A,ANDA,30 TABLET in 1 BLISTER PACK (58118-0502-8),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,58118050208,Buprenorphine,8
Buprenorphine,60687-481-21,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,American Health Packaging,60687-481,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/06/2020,N/A,ANDA,"30 BLISTER PACK in 1 BOX, UNIT-DOSE (60687-481-21)  / 1 TABLET in 1 BLISTER PACK (60687-481-11)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,60687048121,Buprenorphine,2
Buprenorphine,60687-492-21,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,American Health Packaging,60687-492,Buprenorphine,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/06/2020,N/A,ANDA,"30 BLISTER PACK in 1 BOX, UNIT-DOSE (60687-492-21)  / 1 TABLET in 1 BLISTER PACK (60687-492-11)","Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,60687049221,Buprenorphine,8
Buprenorphine,42858-353-40,7.5 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals L.P.,42858-353,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-353-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2024,42858035340,Buprenorphine,7.5
Buprenorphine,42858-493-40,10 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals L.P.,42858-493,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-493-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2024,42858049340,Buprenorphine,10
BUPRENORPHINE,42858-502-03,8 mg/1,TABLET,SUBLINGUAL,ANDA207276,Rhodes Pharmaceuticals L.P.,42858-502,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/25/2017,N/A,ANDA,30 TABLET in 1 BOTTLE (42858-502-03),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,42858050203,Buprenorphine,8
Buprenorphine,42858-839-40,20 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals L.P.,42858-839,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-839-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2024,42858083940,Buprenorphine,20
Buprenorphine,42858-750-40,5 ug/h,PATCH,TRANSDERMAL,NDA021306,Rhodes Pharmaceuticals L.P.,42858-750,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,07/05/2017,N/A,NDA AUTHORIZED GENERIC,4 POUCH in 1 CARTON (42858-750-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2024,42858075040,Buprenorphine,5
Buprenorphine,0093-3659-40,20 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3659,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/26/2018,N/A,ANDA,4 POUCH in 1 CARTON (0093-3659-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,00093365940,Buprenorphine,20
Buprenorphine,0093-3239-40,7.5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3239,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,12/27/2021,N/A,ANDA,4 POUCH in 1 CARTON (0093-3239-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,00093323940,Buprenorphine,7.5
BUPRENORPHINE,63629-9475-1,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,63629-9475,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,11/28/2022,N/A,ANDA,30 TABLET in 1 BOTTLE (63629-9475-1),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,63629947501,Buprenorphine,2
BUPRENORPHINE,71335-0950-1,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-0950,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/13/2018,N/A,ANDA,60 TABLET in 1 BOTTLE (71335-0950-1),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335095001,Buprenorphine,2
Buprenorphine,69238-1202-2,5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA211586,Amneal Pharmaceuticals NY LLC,69238-1202,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,04/20/2020,N/A,ANDA,4 POUCH in 1 CARTON (69238-1202-2)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,69238120202,Buprenorphine,5
Buprenorphine,69238-1203-2,10 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA211586,Amneal Pharmaceuticals NY LLC,69238-1203,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,04/20/2020,N/A,ANDA,4 POUCH in 1 CARTON (69238-1203-2)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,69238120302,Buprenorphine,10
Buprenorphine,69238-1204-2,15 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA211586,Amneal Pharmaceuticals NY LLC,69238-1204,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,04/20/2020,N/A,ANDA,4 POUCH in 1 CARTON (69238-1204-2)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,69238120402,Buprenorphine,15
Buprenorphine,69238-1205-2,20 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA211586,Amneal Pharmaceuticals NY LLC,69238-1205,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,04/20/2020,N/A,ANDA,4 POUCH in 1 CARTON (69238-1205-2)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,69238120502,Buprenorphine,20
Buprenorphine,69238-1505-2,7.5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA211586,Amneal Pharmaceuticals NY LLC,69238-1505,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,04/20/2020,N/A,ANDA,4 POUCH in 1 CARTON (69238-1505-2)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,69238150502,Buprenorphine,7.5
BUPRENORPHINE,71335-0950-3,2 mg/1,TABLET,SUBLINGUAL,ANDA207276,Bryant Ranch Prepack,71335-0950,BUPRENORPHINE,BUPRENORPHINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/23/2022,N/A,ANDA,30 TABLET in 1 BOTTLE (71335-0950-3),"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,71335095003,Buprenorphine,2
Buprenorphine,0093-3656-40,5 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3656,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/26/2018,N/A,ANDA,4 POUCH in 1 CARTON (0093-3656-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,00093365640,Buprenorphine,5
Buprenorphine,0093-3658-40,15 ug/h,"PATCH, EXTENDED RELEASE",TRANSDERMAL,ANDA204937,"Teva Pharmaceuticals USA, Inc.",0093-3658,Buprenorphine,BUPRENORPHINE,HUMAN PRESCRIPTION DRUG,11/26/2018,N/A,ANDA,4 POUCH in 1 CARTON (0093-3658-40)  / 1 PATCH in 1 POUCH / 168 h in 1 PATCH,"Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,00093365840,Buprenorphine,15
Buprenorphine and Naloxone,43598-580-30,"4 mg/1,                         1  mg/1","FILM, SOLUBLE",BUCCAL; SUBLINGUAL,ANDA205806,Dr.Reddys Laboratories Inc,43598-580,Buprenorphine and Naloxone,BUPRENORPHINE HYDROCHLORIDE;  NALOXONE,HUMAN PRESCRIPTION DRUG,06/14/2018,N/A,ANDA,"30 POUCH in 1 CARTON (43598-580-30)  / 1 FILM, SOLUBLE in 1 POUCH (43598-580-01)","Opioid Antagonist [EPC],  Opioid Antagonists [MoA],  Partial Opioid Agonist [EPC],  Partial Opioid Agonists [MoA]",CIII,No,12/31/2023,43598058030,Buprenorphine,4
